order_id,customer_id,product_id,quantity,order_date,ship_date,delivery_date,status,total_amount
1001,1,1,1,2024-10-15,2024-10-16,2024-10-18,delivered,1299.99
1002,2,7,1,2024-10-20,2024-10-21,2024-10-23,delivered,149.99
1003,3,4,1,2024-10-18,2024-10-19,2024-10-22,delivered,599.99
1004,1,2,2,2024-11-01,2024-11-02,2024-11-04,delivered,59.98
1005,5,11,1,2024-11-05,2024-11-06,2024-11-08,delivered,199.99
1006,7,8,1,2024-11-10,2024-11-11,2024-11-13,delivered,349.99
1007,8,1,1,2024-11-12,2024-11-13,2024-11-15,delivered,1299.99
1008,2,12,1,2024-11-14,2024-11-15,2024-11-17,delivered,89.99
1009,10,3,2,2024-11-16,2024-11-17,2024-11-19,delivered,499.98
1010,6,7,1,2024-11-18,2024-11-19,2024-11-21,delivered,149.99
1011,12,1,1,2024-11-20,2024-11-21,2024-11-23,delivered,1299.99
1012,14,4,1,2024-11-22,2024-11-23,2024-11-25,delivered,599.99
1013,5,11,1,2024-11-24,2024-11-25,2024-11-27,in_transit,199.99
1014,17,8,2,2024-11-25,2024-11-26,2024-11-28,in_transit,699.98
1015,18,7,1,2024-11-26,2024-11-27,2024-11-29,processing,149.99
