Omega_b  Omega_m  h  n_s A_s
3.731746182965271774e-02 3.084085659678322822e-01 7.231590378174806988e-01 8.209693365975926360e-01 3.117118105193963817e+00
4.967275524449067670e-02 2.367875251451911078e-01 5.231027659922302675e-01 8.963203712414407054e-01 3.120976730900716589e+00
3.068676809304549807e-02 4.444994459322515468e-01 7.516440740021632649e-01 1.088613813730791691e+00 3.385314364322833391e+00
3.360473650818454616e-02 3.356884111604551135e-01 7.769822897953073682e-01 1.003194292466129234e+00 3.719403029075396550e+00
5.206259947891539452e-02 3.183215249062759655e-01 5.460041785881554199e-01 1.220296034904781779e+00 2.403300590061417719e+00
4.384200283506653473e-02 3.248962745493958471e-01 5.209861176625645296e-01 1.164359392617190458e+00 2.072717853563148527e+00
5.748657961556692675e-02 1.279533021118862135e-01 8.282861398247202134e-01 9.008816800458412377e-01 2.928059000989163163e+00
5.081144577849626420e-02 3.443340506599567030e-01 6.967391688649609005e-01 9.158286259364878390e-01 3.829279764390488783e+00
5.332652495573671214e-02 2.631991373121585487e-01 7.374091900397711230e-01 1.027904167020750048e+00 2.557565700717989277e+00
5.317316099120536488e-02 1.759339987702752961e-01 6.924399685184302600e-01 1.022382865559477549e+00 2.244841055077088754e+00
6.224974715687454918e-02 2.940580505019794177e-01 6.712839767840209637e-01 1.024070696977864126e+00 3.101429781004607200e+00
5.170001336504539274e-02 1.644922852768786192e-01 7.997310079653559001e-01 1.115673738764412448e+00 2.005277539710841328e+00
6.107991151616082304e-02 2.384142158603594075e-01 8.542858658546159667e-01 1.209116722830668955e+00 2.858715703963214061e+00
4.303531581184706634e-02 2.798295083673438821e-01 5.660386786249809177e-01 1.092164833461079620e+00 2.569993595859965119e+00
5.070432853185106309e-02 5.841204613129085121e-01 7.132887016836909622e-01 1.202522857919837040e+00 3.347475411243843624e+00
6.744687665330088844e-02 3.722102485571254782e-01 5.332605321310446289e-01 9.189838932698924934e-01 2.667442361328481670e+00
6.243239950008609013e-02 2.064049438688755345e-01 5.124121683096781732e-01 9.770350653823952625e-01 3.000464532975988696e+00
3.487452429772566753e-02 1.953549764466626093e-01 6.428613644061025312e-01 7.364353674206979283e-01 2.523031839506611806e+00
4.726840910257969208e-02 4.686318942923259900e-01 7.952318720347917314e-01 1.020429359274051428e+00 3.146989118331822155e+00
6.626092934452362804e-02 4.786334839647695683e-01 7.049668947897145266e-01 7.952042054272461247e-01 2.158797492281451458e+00
3.914575831269598294e-02 5.440329382144886150e-01 6.103164981441051573e-01 9.883232723605874792e-01 3.258774541287301485e+00
3.811250038615610070e-02 5.211128518004561894e-01 8.548364250049862445e-01 6.039334136459428848e-01 3.090505483733077874e+00
5.266429166039877235e-02 4.463012579614276110e-01 6.175917581067315032e-01 8.127776635783281467e-01 2.710622719827916249e+00
4.174432714458038707e-02 4.299956373919057162e-01 5.053658965665297487e-01 1.097862564604221491e+00 2.506718582624838820e+00
5.228018676055140590e-02 3.873615230354838790e-01 6.539867130348164803e-01 1.177844495257207580e+00 3.447627070835825869e+00
4.635221534920026809e-02 1.789495409834975792e-01 7.794721050061323986e-01 8.106129906380967753e-01 2.167705283567407992e+00
5.249806546598112522e-02 5.586397925817356835e-01 7.679723597982380801e-01 1.222060657188776212e+00 3.456492181380288464e+00
5.163508067028482057e-02 5.454334375720224504e-01 7.958433631601253833e-01 1.219828654850280580e+00 2.741173308788628304e+00
6.539218294402655840e-02 1.328344973564775655e-01 8.228956446799251534e-01 9.730599676950835164e-01 3.518476436580197042e+00
6.498758090165829282e-02 4.346429030014189454e-01 8.670500666423328617e-01 8.767086472829075383e-01 3.661837705145653210e+00
3.518037966201369160e-02 3.439262453307457834e-01 6.071498423165161418e-01 6.092038524078726702e-01 3.450935253544705983e+00
5.878493314038189116e-02 2.862360031728250487e-01 7.419073243780769378e-01 9.497344238467887445e-01 2.685725560236794873e+00
4.105199222241746881e-02 1.441759491882548261e-01 7.188312428740801785e-01 7.917922915853172761e-01 2.698227374198954642e+00
6.897192062134333002e-02 1.344058760291015897e-01 5.982590651672452520e-01 1.175357712812474809e+00 2.314916068338737976e+00
3.667481636901612219e-02 5.834450412098372007e-01 5.705335887424931585e-01 7.662166748373833158e-01 3.480016942808361158e+00
5.233320174571534644e-02 5.256359210350075584e-01 7.383681798368892935e-01 6.963224009493927946e-01 3.701427628136339187e+00
6.739186903609196977e-02 3.177125065798435122e-01 8.710910681276888834e-01 1.192010974584804650e+00 3.340917082203426425e+00
6.824964979323713821e-02 3.267830972164635916e-01 5.607569360703885675e-01 1.105374552437787816e+00 2.309828083777607510e+00
3.222699835916731370e-02 4.079142136651077166e-01 6.954559320567355041e-01 6.800673963357489749e-01 2.253906898822158222e+00
4.753641867324558123e-02 2.620821409682163039e-01 5.907585051411663457e-01 8.986555263375823888e-01 3.472133401906951633e+00
5.882349323257028001e-02 2.735277294838433515e-01 8.365968820105431636e-01 1.136237815199442780e+00 2.835578927623796375e+00
6.603895335598827798e-02 2.338598013891364791e-01 7.737994737369304765e-01 6.461261166801575140e-01 2.596900022826557297e+00
5.895578365811859900e-02 2.791756566210689128e-01 8.302539749512929390e-01 6.702652392665465753e-01 2.081540044607288475e+00
5.594924643891009686e-02 2.309058680909281680e-01 8.130284185385638906e-01 1.139898264623296908e+00 3.079216293917535374e+00
5.343069500720656201e-02 4.639618622484933397e-01 8.147449995954691992e-01 1.121446879296330135e+00 3.655004399019295303e+00
3.576777096526681521e-02 4.732806070127595355e-01 8.425583565847445389e-01 8.314791155571872316e-01 3.370192006564199705e+00
4.679761800886143158e-02 2.485281681790188768e-01 6.983142870114649181e-01 8.064558050293342273e-01 3.019037008706583425e+00
3.019926166885715177e-02 4.621913338070005040e-01 8.336688865675419002e-01 1.187764972464512070e+00 3.366223054026570516e+00
6.763741291673223965e-02 4.087357023457941496e-01 5.218534826805923954e-01 1.227221571753905671e+00 3.516339521857164474e+00
4.447531643723336842e-02 2.983069716754020995e-01 7.254281215859944565e-01 9.282770338899948293e-01 3.685526409837706741e+00
6.031982998778232657e-02 3.319491496437679823e-01 5.730120127861889623e-01 7.072051697138557191e-01 3.513028422795812400e+00
6.237326889025697485e-02 1.005667740863417647e-01 5.685989211744800764e-01 1.177319807048205602e+00 3.627411550366396398e+00
6.470148924286844849e-02 1.319474988964292050e-01 6.757878980177181027e-01 6.015068102944073347e-01 2.577883012555923337e+00
3.637963034702335063e-02 4.194694583221971751e-01 6.820525375153095871e-01 7.293139595246862505e-01 2.549960045647998719e+00
3.783932901760853756e-02 1.203450147331128206e-01 7.304156399982784098e-01 1.144467949048341815e+00 2.609002657613396892e+00
3.080552549042299762e-02 5.434204749491283737e-01 5.915622671977721625e-01 8.719806702626557993e-01 3.588889860646351515e+00
5.864076083524946692e-02 5.020061425346683537e-01 6.332887564973264105e-01 6.447857633718621084e-01 3.566432760961537607e+00
3.815086290301105548e-02 3.421658880345836984e-01 7.108247300358615517e-01 1.170774264311802426e+00 2.417223011336494309e+00
6.119692994552148463e-02 4.711503536823929972e-01 5.360040936585718230e-01 1.244837159995033415e+00 2.107376066707089102e+00
4.939320392472192761e-02 4.750674806931423078e-01 7.627513052390262338e-01 1.122226928635786436e+00 2.223486578522344992e+00
3.126184160156923741e-02 2.006376276909089262e-01 7.198529629183285650e-01 8.582617431028327637e-01 3.272063919840644708e+00
4.045683251620692256e-02 5.529069573809486382e-01 6.706458555613705741e-01 1.224504147578476809e+00 2.474640142523247377e+00
6.677225610663606314e-02 3.260787359430269983e-01 7.973517534518532734e-01 1.155138765648408006e+00 2.124407390468865398e+00
6.056161000366326597e-02 1.700961655657219351e-01 7.700129380145810387e-01 1.057592920625104904e+00 3.187069910812049933e+00
4.069725426567150778e-02 4.896168957547438749e-01 7.166928377882026968e-01 1.059111284590279700e+00 3.699397823275729635e+00
5.446200682736833387e-02 1.151853336218494755e-01 7.221705217475370420e-01 6.466528044556552057e-01 2.802176404508356811e+00
6.833931399377737859e-02 1.969255861738823943e-01 8.871072722988291304e-01 1.030653766826251649e+00 2.555333676084674099e+00
5.980685690748203248e-02 5.945369786630524400e-01 8.745502241671708754e-01 8.179777685033391421e-01 3.405388829357766767e+00
6.151192017331870432e-02 3.842678417722015238e-01 5.774763938604422497e-01 7.550686380337827686e-01 3.815247880200417718e+00
6.354193164568261443e-02 3.178231961985668041e-01 5.778106604329489304e-01 1.011495736434435910e+00 3.578802566913287908e+00
5.041580898101517827e-02 4.942260321468628925e-01 8.018673054210718742e-01 6.679972008513032078e-01 3.415438871241524232e+00
3.630770672891230760e-02 2.169417484754018188e-01 8.758873530381725558e-01 1.148815802697974675e+00 2.932255725150176406e+00
5.117561686229336881e-02 1.927810985610592387e-01 6.875212672695751870e-01 1.064903997613318332e+00 2.342836043474587626e+00
4.731834606149467465e-02 3.309502413836044044e-01 7.663638302478690267e-01 6.854027418907667757e-01 3.883254349519411619e+00
4.191772835904369887e-02 5.791909151791659882e-01 7.569711131671807980e-01 1.281429700827055651e+00 2.229034656204495590e+00
5.602385158755730094e-02 5.048892507465985169e-01 5.169628265037057302e-01 9.016685162853768087e-01 3.213379781326262119e+00
6.579239468268885394e-02 5.849467497863914955e-01 6.621494956980489288e-01 1.234420775897457911e+00 3.196156275935948088e+00
6.984310510516601733e-02 5.655878854047035054e-01 7.077890097241726908e-01 7.945718545195115112e-01 3.717152802059787042e+00
5.296989301582123721e-02 1.043214046318840516e-01 7.562821644169903657e-01 6.139050293404455516e-01 2.651875062833554342e+00
5.382251017077093608e-02 4.879656885335380556e-01 6.310733407821206287e-01 1.087893937077429207e+00 3.247540993537037401e+00
3.938096949631687826e-02 2.184125319869817394e-01 6.157119096791547896e-01 1.046658647256921260e+00 3.188885147359199923e+00
5.789421127241938664e-02 5.474233937143456741e-01 5.673470112849834379e-01 8.466804977618881400e-01 2.470435966368951242e+00
4.494070813149435989e-02 5.985870888790241207e-01 7.832730469562956266e-01 1.169958658292124642e+00 3.792342977809529891e+00
5.523523099588627944e-02 2.614264819224132452e-01 8.496263992060784087e-01 9.868915473613404377e-01 2.983401861126933952e+00
4.897788155195863247e-02 2.678282841823114713e-01 5.133197967589377964e-01 7.877340588621313255e-01 2.370145353025900015e+00
6.842952717461217582e-02 3.056063890452317411e-01 7.346559082891932491e-01 1.253923714264259637e+00 3.408119637562981197e+00
6.816433417205014500e-02 3.645422832710447647e-01 6.229604575534140043e-01 8.675686451815147748e-01 2.333840867208307301e+00
4.788851341275136841e-02 4.406418743923660175e-01 6.025721784289459482e-01 1.094384025156840856e+00 3.933630242195520044e+00
5.306489751909640451e-02 3.097946600193132727e-01 7.695623369893298538e-01 1.032066230767533677e+00 2.318934936236711319e+00
3.132109870515242811e-02 5.039347548844610447e-01 5.943382543186616074e-01 1.167192893066175019e+00 2.516688960120938567e+00
3.349844518008502497e-02 3.005379804624473961e-01 5.701638071761450099e-01 7.384650855192067542e-01 2.050085629612082183e+00
3.295229063773767730e-02 3.423315338854427958e-01 5.189203455881080673e-01 1.063098557677592648e+00 3.931308402220478282e+00
4.819427747048260491e-02 2.091089146741517690e-01 8.032071069424682186e-01 8.149381192069886648e-01 2.979746574871243947e+00
4.998037403833648085e-02 1.569632686118973275e-01 7.240628671446606157e-01 6.775875130169768390e-01 2.065711037805935568e+00
3.758067276474878760e-02 5.904752818150005300e-01 6.490000579127473967e-01 9.761677248540390206e-01 2.508447958561343505e+00
5.764203726266038663e-02 5.971368237710800164e-01 7.790559500328477771e-01 7.962425283379597207e-01 3.289091577925804977e+00
4.027639964540180584e-02 4.285564463444069272e-01 8.545598356247012806e-01 8.432143344073858016e-01 3.504288048078296747e+00
6.343144104949441364e-02 4.336773924524389701e-01 7.809562343226155168e-01 9.637383086641151397e-01 3.260443638549726408e+00
4.420604598887480780e-02 1.422382402313797922e-01 7.862417256294049750e-01 7.620286993926722596e-01 2.764971914588645774e+00
6.163681477647419554e-02 5.335052643243948234e-01 7.672194157535647818e-01 1.211358181108016074e+00 3.789893338647057242e+00
6.831738393837905043e-02 3.774804545260415090e-01 7.018905021283182721e-01 9.437557846568074282e-01 3.912080309489856855e+00
3.084407097787015758e-02 2.425359700908308880e-01 7.760060157423414040e-01 8.350919955628557378e-01 2.537777994064178699e+00
6.943092147877001630e-02 1.668888788057306671e-01 5.845239403115745080e-01 1.293995025117334219e+00 3.870021367964993964e+00
4.874174946382099638e-02 4.008431713825365561e-01 8.585592844455778305e-01 1.077783459475970984e+00 3.825275849420845198e+00
4.254694846976308370e-02 3.218722247374398160e-01 5.824797117197519913e-01 1.245408839390329536e+00 3.329444435509065769e+00
5.419166824088413048e-02 4.257654280258791335e-01 5.197499202319330047e-01 1.225025161393777262e+00 3.602886162871966835e+00
5.474971040830101110e-02 5.111272561348373378e-01 7.964775628085180026e-01 1.051340754457851911e+00 3.904933947636295422e+00
5.854195779797755073e-02 1.030718761605025763e-01 6.248203553738546079e-01 9.681667066283321521e-01 3.597145831326813870e+00
3.446976742818189110e-02 2.743433464899892038e-01 8.152796472312837661e-01 9.053330118623180711e-01 3.092461022958095551e+00
5.545138798066834296e-02 5.355448966141211908e-01 8.983966428014682482e-01 9.240312440881678357e-01 2.937237539907314954e+00
4.095746555727224764e-02 4.824105475414762756e-01 6.550277374906163796e-01 1.068203542475518297e+00 2.954492157388323825e+00
4.317931651707848650e-02 4.956622097499772117e-01 8.237733138633398511e-01 7.632494376116335522e-01 2.784935820189681888e+00
6.312345721907125506e-02 1.748970376504814239e-01 6.655103315623233096e-01 1.208923935100373992e+00 2.232853270126392786e+00
6.922638833253923207e-02 5.305868725878601921e-01 8.806121415459446933e-01 7.985929741330729525e-01 3.876132928061480243e+00
5.727140446625209741e-02 1.870612356380766395e-01 6.775064831818969902e-01 8.408122692756292427e-01 3.706446741390512223e+00
3.479352018281587494e-02 5.432938646172426056e-01 5.749041373139309741e-01 1.052946423125672881e+00 2.567165656376019900e+00
5.136108373899139767e-02 2.866232279171795350e-01 8.012041373094984653e-01 1.275247818803674882e+00 2.459298468182339548e+00
6.892768226074041937e-02 1.782177933804859338e-01 8.318394360789519437e-01 1.107789313670390907e+00 3.811032471056429394e+00
4.824546883537875891e-02 5.338275822481413080e-01 7.595150511759274359e-01 9.365331432530068501e-01 3.443090294543062146e+00
5.898508197365293082e-02 3.918459294908778201e-01 6.619389577358529841e-01 1.228667498830395388e+00 2.972299777541809629e+00
4.651549716363124337e-02 1.023787282517463898e-01 7.006330602289625453e-01 6.113967124145359699e-01 2.372272908088527643e+00
3.589348798116406836e-02 1.719992696283457190e-01 6.505252751870028716e-01 1.039690638554724433e+00 2.996575910085252481e+00
4.481236837016829705e-02 1.000178161786316466e-01 8.876328093105065875e-01 8.028480776050930245e-01 2.940589171177215633e+00
3.254175119054844578e-02 2.931692726026067231e-01 7.130553019013884386e-01 7.782739649387818703e-01 3.288771208787069966e+00
6.100215488492269356e-02 4.744086026416106661e-01 8.340093352759219147e-01 1.031072939560037760e+00 2.344627985821266414e+00
4.539602819589295263e-02 5.094745710755256285e-01 6.410709800146647819e-01 8.076180610582599506e-01 2.305322189142314571e+00
6.782093627987417772e-02 5.376318557827725053e-01 5.247077799083152971e-01 8.040096724307108644e-01 2.194649155724969880e+00
6.692220117225079756e-02 5.006697756364857366e-01 7.728808110744423976e-01 1.128861918297055400e+00 2.263234128538318402e+00
3.772057499021776172e-02 1.502767131792730748e-01 5.629787150367038251e-01 1.015211615896302044e+00 3.024319296772772780e+00
5.094773601828068987e-02 3.878036817017982418e-01 7.348716274046491748e-01 9.723371451140208066e-01 3.787397920583653654e+00
3.935342424317617854e-02 5.789344445459425614e-01 6.887092498305495969e-01 6.179163215714847945e-01 3.582714225692382293e+00
4.558727628537913995e-02 4.891220702856792224e-01 5.383702286232111556e-01 6.648050286653648389e-01 2.273161246367090271e+00
4.821116712953756739e-02 4.071118657074056513e-01 7.410127122820334700e-01 1.066179992904935148e+00 2.795466264042809179e+00
5.172896760289426299e-02 1.685736755359492633e-01 6.015645128913569284e-01 8.879730843675806007e-01 3.095918167970348911e+00
3.057186975794455239e-02 1.135599223206111702e-01 7.631675726683213590e-01 8.403016005364873919e-01 2.930789691261075358e+00
6.977546781806628906e-02 5.643257897150159019e-01 5.238245512806182225e-01 9.588158287385399881e-01 3.573525022905250204e+00
5.499930554761842116e-02 3.228704388572724016e-01 7.093291287685767887e-01 7.171140139315810291e-01 3.392313415245136632e+00
4.442895770473147959e-02 1.251426639344964120e-01 8.532037980542719335e-01 7.460610830745175726e-01 3.275529999545714332e+00
5.607402343544203027e-02 2.453393736282313276e-01 7.581988865682471879e-01 1.145864650219492464e+00 2.676045735001036707e+00
4.500568264936782858e-02 3.093621253122743053e-01 8.593963849989061377e-01 1.227917267835530568e+00 3.635268812255894044e+00
4.341919074006816287e-02 5.405290886348129709e-01 7.223863216387600428e-01 7.956877506461494942e-01 2.301010742355236616e+00
6.755093808661083443e-02 5.072632693106347013e-01 7.872167447628815040e-01 1.109907643581457215e+00 2.291254124697899464e+00
3.966380139791860632e-02 3.553889819938409467e-01 7.685070896101322546e-01 9.484525366815333980e-01 2.571632543446193075e+00
5.131548961436104006e-02 1.704663248215099181e-01 6.825634851720840945e-01 8.390855676954123155e-01 2.574705070140139718e+00
6.885435202069498106e-02 1.677981787184472939e-01 8.309468254908968232e-01 8.683823423763283866e-01 3.774620443488348354e+00
4.017469004758449092e-02 2.905285905973654659e-01 6.090722389273893755e-01 7.995797346706706721e-01 3.562878097126095600e+00
4.972555656261262724e-02 2.518123179401156042e-01 6.626275818411225815e-01 1.229263499209029220e+00 2.705739566517689543e+00
4.430759512445602705e-02 4.120804281692785898e-01 8.515600714671056615e-01 7.602608996816359044e-01 2.862297812700701272e+00
6.577933747686948163e-02 3.991270720591505450e-01 8.857600119991153598e-01 6.765899020166495914e-01 2.030066105066663518e+00
4.300371213220709199e-02 2.749744073059000038e-01 5.394730041924060693e-01 1.154331668986744663e+00 2.919682198207838031e+00
5.743258901354759971e-02 1.462754344201104284e-01 7.611250457309268747e-01 1.203906396964056658e+00 3.052469580257908710e+00
3.306323154377043688e-02 4.636923186545791609e-01 8.403336430908860955e-01 8.536097890815927958e-01 2.861031284106983819e+00
3.336371299929920264e-02 5.262555465792665421e-01 8.504632788807311439e-01 8.103298876651319205e-01 2.405057868267796994e+00
