Language,L1 Speakers (M),Family,Branch
Mandarin Chinese,941,Sino-Tibetan,Sinitic
Spanish,486,Indo-European,Romance
English,380,Indo-European,Germanic
Hindi,345,Indo-European,Indo-Aryan
Bengali,237,Indo-European,Indo-Aryan
Portuguese,236,Indo-European,Romance
Russian,148,Indo-European,Balto-Slavic
Japanese,123,Japonic,Japanese
Yue Chinese,86,Sino-Tibetan,Sinitic
Vietnamese,85,Austroasiatic,Vietic
Turkish,84,Turkic,Oghuz
Wu Chinese,83,Sino-Tibetan,Sinitic
Marathi,83,Indo-European,Indo-Aryan
Telugu,83,Dravidian,South-Central
Western Punjabi,82,Indo-European,Indo-Aryan
Korean,81,Koreanic,—
Tamil,79,Dravidian,South
Egyptian Arabic,78,Afroasiatic,Semitic
Standard German,76,Indo-European,Germanic
French,74,Indo-European,Romance
Urdu,70,Indo-European,Indo-Aryan
Javanese,68,Austronesian,Malayo-Polynesian
Italian,64,Indo-European,Romance
Iranian Persian,62,Indo-European,Iranian
Gujarati,58,Indo-European,Indo-Aryan
Hausa,54,Afroasiatic,Chadic
Bhojpuri,53,Indo-European,Indo-Aryan
Levantine Arabic,51,Afroasiatic,Semitic
Southern Min,51,Sino-Tibetan,Sinitic
