file_name,assembly_idx
001.mol,9
002.mol,7
003.mol,7
004.mol,11
005.mol,10
006.mol,9
007.mol,10
008.mol,7
009.mol,8
010.mol,8
011.mol,7
012.mol,8
013.mol,10
014.mol,8
015.mol,7
016.mol,8
017.mol,10
018.mol,10
019.mol,7
020.mol,9
021.mol,11
022.mol,7
023.mol,9
024.mol,9
025.mol,9
026.mol,10
027.mol,8
028.mol,7
029.mol,8
030.mol,8
031.mol,9
032.mol,8
033.mol,9
034.mol,9
035.mol,10
036.mol,10
037.mol,14
038.mol,7
039.mol,10
040.mol,10
041.mol,11
042.mol,10
043.mol,8
044.mol,10
045.mol,9
046.mol,8
047.mol,10
048.mol,9
049.mol,12
050.mol,10
051.mol,7
052.mol,10
053.mol,11
054.mol,7
055.mol,10
056.mol,12
057.mol,10
058.mol,11
059.mol,8
060.mol,9
061.mol,9
062.mol,11
063.mol,10
064.mol,10
065.mol,12
066.mol,11
067.mol,9
068.mol,12
069.mol,8
070.mol,10
071.mol,8
072.mol,11
073.mol,12
074.mol,13
075.mol,10
076.mol,11
077.mol,7
078.mol,10
079.mol,9
080.mol,10
081.mol,7
082.mol,9
083.mol,9
084.mol,8
085.mol,10
086.mol,10
087.mol,8
088.mol,8
089.mol,7
090.mol,8
091.mol,10
092.mol,10
093.mol,8
094.mol,11
095.mol,11
096.mol,9
097.mol,10
098.mol,9
099.mol,10
100.mol,10
101.mol,10
102.mol,9
103.mol,10
104.mol,11
105.mol,9
106.mol,7
107.mol,10
108.mol,12
109.mol,10
110.mol,12
111.mol,12
112.mol,10
113.mol,10
114.mol,10
115.mol,13
116.mol,10
117.mol,10
118.mol,9
119.mol,10
120.mol,12
121.mol,9
122.mol,11
123.mol,13
124.mol,10
125.mol,8
126.mol,10
127.mol,11
128.mol,8
129.mol,11
130.mol,10
131.mol,8
132.mol,11
133.mol,7
134.mol,9
135.mol,8
136.mol,8
137.mol,13
138.mol,11
139.mol,10
140.mol,11
141.mol,11
142.mol,10
143.mol,9
144.mol,12
145.mol,11
146.mol,10
147.mol,12
148.mol,10
149.mol,11
150.mol,10
151.mol,10
152.mol,13
153.mol,11
154.mol,13
155.mol,9
156.mol,9
157.mol,16
158.mol,10
159.mol,9
160.mol,10
161.mol,10
162.mol,10
163.mol,11
164.mol,10
165.mol,7
166.mol,14
167.mol,13
168.mol,12
169.mol,13
170.mol,9
171.mol,9
172.mol,10
173.mol,12
174.mol,9
175.mol,12
176.mol,15
177.mol,12
178.mol,10
179.mol,11
180.mol,13
181.mol,10
182.mol,7
183.mol,11
184.mol,13
185.mol,12
186.mol,13
187.mol,10
188.mol,12
189.mol,10
190.mol,12
191.mol,12
192.mol,11
193.mol,14
194.mol,12
195.mol,11
196.mol,14
197.mol,9
198.mol,12
199.mol,12
200.mol,11
