Wavelength(nm)	n	k
298.800000	1.522000	0.992000
302.400000	1.496000	0.882000
306.100000	1.432000	0.776000
310.000000	1.323000	0.647000
311.500000	1.246000	0.586000
313.900000	1.149000	0.540000
315.500000	1.044000	0.514000
317.900000	0.932000	0.504000
319.500000	0.815000	0.526000
322.000000	0.708000	0.565000
323.700000	0.616000	0.609000
326.300000	0.526000	0.663000
330.600000	0.371000	0.813000
332.400000	0.321000	0.902000
335.100000	0.294000	0.986000
339.700000	0.259000	1.120000
344.400000	0.238000	1.240000
354.200000	0.209000	1.440000
364.700000	0.186000	1.610000
375.700000	0.200000	1.670000
387.500000	0.192000	1.810000
400.000000	0.173000	1.950000
413.300000	0.173000	2.110000
427.500000	0.160000	2.260000
442.800000	0.157000	2.400000
459.200000	0.144000	2.560000
476.900000	0.132000	2.720000
495.900000	0.130000	2.880000
516.600000	0.130000	3.070000
539.100000	0.129000	3.250000
563.600000	0.120000	3.450000
590.400000	0.121000	3.660000
619.900000	0.131000	3.880000
652.600000	0.140000	4.150000
688.800000	0.140000	4.440000
729.300000	0.148000	4.740000
774.900000	0.143000	5.090000
826.600000	0.145000	5.500000
885.600000	0.163000	5.950000
953.700000	0.198000	6.430000
1033.000000	0.226000	6.990000
1127.000000	0.251000	7.670000
1240.000000	0.329000	8.490000
1265.000000	0.375000	7.780000
1291.000000	0.383000	7.920000
1305.000000	0.358000	8.950000
1319.000000	0.392000	8.060000
1348.000000	0.401000	8.210000
1378.000000	0.411000	8.370000
1409.000000	0.421000	8.370000
1442.000000	0.431000	8.700000
1476.000000	0.442000	8.880000
1512.000000	0.455000	9.080000
1550.000000	0.469000	9.320000
1675.000000	0.519000	10.100000
1722.000000	0.537000	10.400000
1771.000000	0.557000	10.700000
1823.000000	0.578000	11.100000
1879.000000	0.600000	11.400000
1937.000000	0.624000	11.800000
2000.000000	0.650000	12.200000
2066.000000	0.668000	12.600000
2138.000000	0.729000	13.000000
2214.000000	0.774000	13.500000
2296.000000	0.823000	14.000000
2384.000000	0.878000	14.500000
2480.000000	0.939000	15.100000
2583.000000	1.007000	15.700000
