2theta (deg),Intensity (counts)
10.0,204.9671
10.02,198.6174
10.04,206.4769
10.06,215.2303
10.08,197.6585
10.1,197.6586
10.12,215.7921
10.14,207.6743
10.16,195.3053
10.18,205.4256
10.2,195.3658
10.22,195.3427
10.24,202.4196
10.26,180.8672
10.28,182.7508
10.3,194.3771
10.32,189.8717
10.34,203.1425
10.36,190.9198
10.38,185.877
10.4,214.6565
10.42,197.7422
10.44,200.6753
10.46,185.7525
10.48,194.5562
10.5,201.1092
10.52,188.4901
10.54,203.757
10.56,193.9936
10.58,197.0831
10.6,193.9829
10.62,218.5228
10.64,199.865
10.66,189.4229
10.68,208.2254
10.7,187.7916
10.72,202.0886
10.74,180.4033
10.76,186.7181
10.78,201.9686
10.8,207.3847
10.82,201.7137
10.84,198.8435
10.86,196.989
10.88,185.2148
10.9,192.8016
10.92,195.3936
10.94,210.5712
10.96,203.4362
10.98,182.3696
11.0,203.2408
11.02,196.1492
11.04,193.2308
11.06,206.1168
11.08,210.31
11.1,209.3128
11.12,191.6078
11.14,196.9079
11.16,203.3126
11.18,209.7555
11.2,195.2083
11.22,198.1434
11.24,188.9367
11.26,188.0379
11.28,208.1253
11.3,213.5624
11.32,199.2799
11.34,210.0353
11.36,203.6164
11.38,193.5488
11.4,203.614
11.42,215.3804
11.44,199.6417
11.46,215.6464
11.48,173.8025
11.5,208.219
11.52,200.8705
11.54,197.0099
11.56,200.9176
11.58,180.1243
11.6,197.8033
11.62,203.5711
11.64,214.7789
11.66,194.8173
11.68,191.9151
11.7,194.9824
11.72,209.154
11.74,203.2875
11.76,194.7024
11.78,205.1327
11.8,200.9708
11.82,209.6864
11.84,192.9795
11.86,196.7234
11.88,196.0789
11.9,185.3649
11.92,202.9612
11.94,202.6106
11.96,200.0511
11.98,197.6541
12.0,185.8463
12.02,195.7935
12.04,196.5729
12.06,191.9772
12.08,198.3871
12.1,204.0405
12.12,218.8619
12.14,201.7458
12.16,202.5755
12.18,199.2555
12.2,180.8123
12.22,199.7349
12.24,200.6023
12.26,224.6324
12.28,198.0764
12.3,203.0155
12.32,199.6529
12.34,188.3132
12.36,211.4282
12.38,207.5193
12.4,207.9103
12.42,190.9061
12.44,214.0279
12.46,185.9815
12.48,205.8686
12.5,221.9046
12.52,190.0946
12.54,194.337
12.56,200.9965
12.58,194.9652
12.6,184.4934
12.62,200.6856
12.64,189.377
12.66,204.7359
12.68,190.8058
12.7,215.4993
12.72,192.1675
12.74,196.7794
12.76,208.1352
12.78,187.6914
12.8,202.2746
12.82,213.0714
12.84,183.9252
12.86,201.8463
12.88,202.5988
12.9,207.8182
12.92,187.6305
12.94,186.7954
12.96,205.2194
12.98,202.9698
13.0,202.5049
13.02,203.4645
13.04,193.1998
13.06,202.3225
13.08,202.9307
13.1,192.8565
13.12,218.6577
13.14,204.7383
13.16,188.087
13.18,206.5655
13.2,190.2532
13.22,207.8708
13.24,211.586
13.26,191.7932
13.28,209.6338
13.3,204.1278
13.32,208.2206
13.34,218.9679
13.36,197.5461
13.38,192.4626
13.4,191.1049
13.42,191.8419
13.44,199.229
13.46,203.4115
13.48,202.7669
13.5,208.2718
13.52,200.13
13.54,214.5353
13.56,197.3534
13.58,227.2017
13.6,206.2567
13.62,191.4284
13.64,189.2911
13.66,204.8247
13.68,197.7654
13.7,207.14
13.72,204.7324
13.74,199.2717
13.76,191.5321
13.78,184.8515
13.8,195.5349
13.82,208.564
13.84,202.1409
13.86,187.5426
13.88,201.7318
13.9,203.8532
13.92,191.1614
13.94,201.5373
13.96,200.5821
13.98,188.5703
14.0,203.5779
14.02,205.6078
14.04,210.8305
14.06,210.538
14.08,186.2233
14.1,190.6217
14.12,205.1504
14.14,205.1379
14.16,205.1505
14.18,238.5273
14.2,205.7089
14.22,211.3557
14.24,209.54
14.26,206.5139
14.28,196.8473
14.3,207.5897
14.32,192.2717
14.34,197.6318
14.36,195.1464
14.38,200.8187
14.4,223.1466
14.42,181.3273
14.44,206.8626
14.46,183.8728
14.48,195.2807
14.5,210.8895
14.52,200.6428
14.54,189.2226
14.56,192.847
14.58,206.796
14.6,192.6963
14.62,202.1646
14.64,200.4557
14.66,193.484
14.68,221.4394
14.7,206.3392
14.72,179.7486
14.74,201.8645
14.76,193.3821
14.78,208.5243
14.8,192.0748
14.82,198.8526
14.84,205.0499
14.86,208.6576
14.88,187.997
14.9,196.655
14.92,195.2505
14.94,193.4667
14.96,217.6545
14.98,204.0498
15.0,187.3912
15.02,209.1786
15.04,221.2216
15.06,210.3247
15.08,184.8063
15.1,195.1577
15.12,212.6691
15.14,192.9233
15.16,204.4382
15.18,207.7463
15.2,190.7307
15.22,199.4047
15.24,167.5873
15.26,189.7561
15.28,197.4743
15.3,187.5222
15.32,216.3241
15.34,185.6986
15.36,195.5996
15.38,201.3074
15.4,214.4127
15.42,185.6414
15.44,211.6316
15.46,200.1023
15.48,190.1849
15.5,204.621
15.52,201.9906
15.54,193.9978
15.56,200.698
15.58,196.1469
15.6,201.1352
15.62,206.6213
15.64,215.8602
15.66,187.6218
15.68,221.3303
15.7,180.4791
15.72,198.4821
15.74,205.8832
15.76,202.8099
15.78,193.773
15.8,197.9188
15.82,195.07
15.84,194.1064
15.86,208.496
15.88,203.5702
15.9,193.0709
15.92,208.996
15.94,203.073
15.96,208.1286
15.98,206.2963
16.0,191.71
16.02,194.3982
16.04,207.4729
16.06,206.1037
16.08,199.791
16.1,201.1733
16.12,212.7766
16.14,194.0843
16.16,205.471
16.18,197.9781
16.2,197.8232
16.22,210.9878
16.24,208.2542
16.26,208.1351
16.28,213.0548
16.3,200.21
16.32,206.8195
16.34,196.8973
16.36,203.2417
