ticker,name,market_cap,stock_price,revenue
GAZP,Gazprom,"4,681.61B",198.00,"9,515.59B"
ROSN,Rosneft Oil Company,"3,336.31B",351.20,10.46T
SBER,Sberbank of Russia,"2,993.48B",133.30,"2,686.10B"
NVTK,PAO NOVATEK,"2,972.66B",993.00,"1,545.85B"
GMKN,Mining and Metallurgical Company Norilsk Nickel,"2,555.88B",167.20,"1,368.33B"
LKOH,PJSC LUKOIL,"2,534.09B","3,911.00","8,655.34B"
SIBN,Gazprom Neft,"1,841.44B",390.30,"3,519.96B"
PLZL,Polyus,"1,134.00B","8,376.00",501.01B
PHOR,PhosAgro,"1,026.81B","7,929.00",507.69B
SNGS,Surgutneftegas Public Joint Stock Company,928.68B,26.00,"2,218.77B"
TATN,PJSC Tatneft,915.43B,409.90,"1,896.34B"
RUAL,"United Company RUSAL, International",876.30B,55.83,"1,031.78B"
NLMK,Novolipetsk Steel,827.07B,138.00,"1,007.06B"
CHMF,Severstal,688.10B,821.40,824.27B
AKRN,Acron,674.93B,"18,362.0",191.92B
VSMO,Public Stock Company VSMPO-AVISMA Corporation,658.34B,"57,180.0",83.06B
PIKK,PIK-specialized homebuilder,499.54B,757.00,487.81B
ALRS,ALROSA,482.09B,66.84,280.67B
MTSS,Mobile TeleSystems Public Joint Stock Company,457.30B,275.05,680.53B
MGNT,Magnit,434.70B,"4,439.00","2,775.29B"
TCSG,International Public Joint-Stock Company T-Technologies,398.71B,"2,013.00",357.98B
MAGN,Magnitogorsk Iron & Steel Works,351.99B,31.50,828.51B
HYDR,Federal Hydro-Generating Company - RusHydro,349.66B,0.803,585.18B
IRKT,Yakovlev,339.99B,54.70,209.72B
UNAC,United Aircraft Corporation,329.59B,0.633,503.89B
IRAO,Inter RAO UES,249.96B,3.399,"1,430.38B"
VTBR,VTB Bank,244.04B,94.15,972.70B
RTKM,Rostelecom,222.76B,66.54,736.33B
RASP,Raspadskaya,198.06B,297.50,190.27B
MOEX,Moscow Exchange MICEX-RTS,192.34B,85.20,155.65B
BANE,Public Joint Stock Oil Company Bashneft,169.22B,"1,041.50","1,180.66B"
SMLT,Samolet Group Public Joint Stock Company,165.96B,"2,695.00",325.58B
CBOM,Credit Bank of Moscow,164.34B,4.916,93.04B
NKNC,Nizhnekamskneftekhim,142.86B,79.55,252.85B
AFKS,Sistema Public Joint Stock Financial Corporation,142.29B,15.04,"1,158.73B"
SGZH,Group of Companies Segezha Public Joint Stock Company,127.86B,8.15,90.67B
KZOS,Kazan Public Joint Stock Company Organichesky sintez,124.96B,70.00,84.29B
TRCN,Center for Cargo Container Traffic TransContainer,119.43B,"8,595.00",189.58B
MGTS,Moscow City Telephone Network,117.17B,"1,470.00",43.91B
FEES,Federal Grid Company of Unified Energy System,113.03B,0.0896,246.84B
GCHE,Cherkizovo Group,111.91B,"2,650.50",172.86B
NMTP,Novorossiysk Commercial Sea Port,102.67B,5.56,49.15B
APTK,Pharmacy Chain 36.6,95.35B,12.50,60.35B
UPRO,Unipro,92.62B,1.469,123.26B
FLOT,PAO Sovcomflot,91.59B,39.30,189.15B
YAKG,Yakutsk Fuel and Energy Company,90.30B,109.20,8.41B
FESH,Far-Eastern Shipping Company PLC.,90.01B,30.50,158.64B
