Omega_b  Omega_m  h  sigma8  n_s  w
3.7830e-02 4.2322e-01 7.2637e-01 7.1527e-01 8.5781e-01 -9.7461e-01
3.9393e-02 1.9920e-01 7.7207e-01 6.7407e-01 8.2781e-01 -7.7539e-01
4.0564e-02 3.0818e-01 8.1191e-01 9.1337e-01 1.0809e+00 -5.6445e-01
4.2127e-02 2.9002e-01 6.1973e-01 8.5949e-01 7.9594e-01 -5.3711e-01
4.4666e-02 3.6873e-01 6.0566e-01 7.8025e-01 1.1653e+00 -1.0020e+00
4.5252e-02 4.3412e-01 7.0410e-01 9.7517e-01 9.1406e-01 -1.3652e+00
4.7205e-02 2.1615e-01 8.2832e-01 7.9134e-01 9.5719e-01 -1.3066e+00
4.8865e-02 1.8467e-01 6.7480e-01 1.0037e+00 1.0134e+00 -7.0508e-01
4.9646e-02 3.2271e-01 6.6074e-01 7.0418e-01 7.6781e-01 -1.4551e+00
5.2576e-02 3.9174e-01 7.5566e-01 8.7850e-01 7.2094e-01 -6.6602e-01
5.3064e-02 3.4572e-01 8.4473e-01 6.4871e-01 1.1372e+00 -1.0762e+00
5.4920e-02 2.6459e-01 6.4316e-01 9.6249e-01 1.1991e+00 -1.2441e+00
5.7166e-02 2.5006e-01 5.5527e-01 8.3571e-01 8.8219e-01 -1.1348e+00
5.7654e-02 4.5713e-01 5.8574e-01 7.4380e-01 1.0547e+00 -1.3887e+00
5.9217e-02 1.6772e-01 6.9707e-01 6.3128e-01 9.6844e-01 -8.8477e-01
6.1951e-02 3.6631e-01 7.7910e-01 9.1178e-01 1.0247e+00 -8.3398e-01
3.7439e-02 3.4936e-01 6.2676e-01 8.0560e-01 9.1031e-01 -9.3945e-01
3.9197e-02 1.6045e-01 7.8144e-01 7.5014e-01 9.9094e-01 -1.0371e+00
4.1053e-02 3.3119e-01 7.2754e-01 7.2954e-01 8.8781e-01 -1.4980e+00
4.3201e-02 2.1131e-01 6.7129e-01 6.9942e-01 7.3781e-01 -6.0742e-01
4.4373e-02 3.7963e-01 8.2949e-01 8.6899e-01 9.3656e-01 -7.6367e-01
4.5936e-02 2.6338e-01 8.3184e-01 9.2763e-01 1.1878e+00 -1.1816e+00
4.6912e-02 3.8810e-01 5.9043e-01 6.7248e-01 1.1316e+00 -1.3027e+00
4.8279e-02 2.7670e-01 6.8301e-01 1.0132e+00 8.2969e-01 -7.4805e-01
5.1014e-02 4.6440e-01 6.5019e-01 8.8801e-01 8.0531e-01 -6.5820e-01
5.1307e-02 1.7498e-01 5.6582e-01 7.6915e-01 9.7031e-01 -1.1934e+00
5.3455e-02 2.2826e-01 7.6270e-01 8.2462e-01 7.5094e-01 -1.4082e+00
5.4334e-02 3.2029e-01 5.7871e-01 9.4031e-01 1.1503e+00 -9.3555e-01
5.6092e-02 4.4139e-01 7.3809e-01 9.6408e-01 8.6906e-01 -1.3496e+00
5.8240e-02 2.3916e-01 8.0723e-01 6.2969e-01 1.0884e+00 -1.1074e+00
5.9803e-02 2.9123e-01 7.1113e-01 8.4839e-01 1.0284e+00 -5.1758e-01
6.1268e-02 4.1475e-01 6.1387e-01 6.5822e-01 1.0753e+00 -8.1836e-01
3.7635e-02 2.8397e-01 7.1465e-01 7.3429e-01 1.1016e+00 -6.8945e-01
4.0076e-02 2.4400e-01 5.6348e-01 6.3762e-01 9.8719e-01 -1.2207e+00
4.1541e-02 1.9678e-01 8.1660e-01 6.1860e-01 1.1241e+00 -1.1426e+00
4.1932e-02 3.2877e-01 8.0019e-01 7.7549e-01 1.0603e+00 -1.4355e+00
4.3885e-02 3.0092e-01 8.4824e-01 8.3254e-01 7.7531e-01 -9.5117e-01
4.6131e-02 4.6076e-01 5.9746e-01 6.8675e-01 8.9719e-01 -1.0684e+00
4.6521e-02 3.5662e-01 5.7520e-01 9.2922e-01 9.0656e-01 -8.6133e-01
4.9354e-02 1.5560e-01 6.7246e-01 7.3746e-01 9.9469e-01 -5.0586e-01
5.0623e-02 3.3482e-01 7.7793e-01 9.6883e-01 8.4844e-01 -1.4668e+00
5.2088e-02 1.9072e-01 7.2871e-01 6.6773e-01 8.0906e-01 -1.2676e+00
5.2771e-02 3.7236e-01 7.5332e-01 9.8944e-01 1.1484e+00 -1.0527e+00
5.5701e-02 2.2221e-01 6.9121e-01 9.0227e-01 8.3344e-01 -8.1055e-01
5.6580e-02 4.4502e-01 6.4551e-01 8.4205e-01 1.0397e+00 -6.2695e-01
5.7850e-02 2.5490e-01 6.1269e-01 8.7692e-01 1.1822e+00 -6.1914e-01
6.0193e-02 3.9416e-01 7.5918e-01 7.8817e-01 7.3406e-01 -9.0820e-01
6.1170e-02 4.1111e-01 6.3379e-01 9.4982e-01 9.3844e-01 -1.3262e+00
3.8221e-02 2.4643e-01 5.9512e-01 6.7882e-01 8.1844e-01 -8.6914e-01
3.8807e-02 4.0021e-01 6.5371e-01 8.8960e-01 1.0997e+00 -5.5664e-01
4.1346e-02 4.1717e-01 7.7090e-01 8.0402e-01 1.1522e+00 -1.1582e+00
4.1736e-02 3.6752e-01 5.5410e-01 9.5774e-01 9.7406e-01 -1.4043e+00
4.3396e-02 2.2705e-01 8.0957e-01 9.3714e-01 1.0228e+00 -9.8633e-01
4.5643e-02 2.0041e-01 7.4746e-01 6.8516e-01 1.0191e+00 -7.6758e-01
4.6619e-02 4.2685e-01 8.1426e-01 7.4221e-01 7.4906e-01 -1.0488e+00
4.9061e-02 2.7912e-01 6.2207e-01 7.6123e-01 1.1222e+00 -1.4590e+00
4.9939e-02 4.5592e-01 7.8262e-01 9.9894e-01 8.0156e-01 -6.9727e-01
5.1502e-02 2.6096e-01 7.3457e-01 8.2620e-01 7.5844e-01 -5.6836e-01
5.3357e-02 3.3846e-01 6.6543e-01 9.7993e-01 8.8969e-01 -1.0918e+00
5.5311e-02 3.7115e-01 6.9238e-01 8.8167e-01 1.1897e+00 -6.8555e-01
5.6287e-02 3.0455e-01 6.3965e-01 6.1385e-01 8.4469e-01 -1.2637e+00
5.7947e-02 1.6408e-01 7.1582e-01 8.5473e-01 9.2719e-01 -1.3184e+00
5.9119e-02 1.8951e-01 5.7988e-01 6.5663e-01 1.0697e+00 -8.9648e-01
6.0486e-02 3.2756e-01 8.3535e-01 7.1844e-01 9.5156e-01 -1.2090e+00
3.7342e-02 3.5178e-01 7.2168e-01 8.7533e-01 1.0097e+00 -1.1777e+00
3.8904e-02 2.1373e-01 5.9277e-01 7.6440e-01 8.6719e-01 -5.2148e-01
4.0955e-02 1.7982e-01 6.7832e-01 9.4823e-01 1.1634e+00 -7.3242e-01
4.2615e-02 4.1232e-01 6.3613e-01 9.2605e-01 7.4156e-01 -7.9883e-01
4.3689e-02 4.0264e-01 7.8965e-01 6.1068e-01 9.0844e-01 -9.4727e-01
4.5545e-02 1.5682e-01 6.8535e-01 7.3904e-01 9.4031e-01 -1.2363e+00
4.7400e-02 2.8518e-01 5.5293e-01 8.3888e-01 1.0491e+00 -9.1992e-01
4.9158e-02 3.1303e-01 7.6152e-01 6.4079e-01 1.1353e+00 -1.3691e+00
5.0135e-02 2.0525e-01 7.4043e-01 9.8627e-01 7.7719e-01 -1.3965e+00
5.2283e-02 2.3432e-01 8.2715e-01 7.2161e-01 8.1469e-01 -5.8008e-01
5.4041e-02 3.4451e-01 7.1816e-01 7.9609e-01 8.7094e-01 -1.1230e+00
5.4725e-02 3.8447e-01 8.3887e-01 8.2145e-01 1.1859e+00 -8.6523e-01
5.5896e-02 4.4744e-01 6.5840e-01 9.9419e-01 1.0641e+00 -1.0215e+00
5.7361e-02 4.2928e-01 6.1504e-01 6.7724e-01 7.9781e-01 -6.6211e-01
5.9998e-02 2.5975e-01 5.7168e-01 6.8991e-01 9.7781e-01 -1.2910e+00
6.0584e-02 2.9486e-01 8.0137e-01 9.0386e-01 1.0922e+00 -1.4473e+00
